url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbol,num_question_marks,num_equals,num_ampersand,num_percent,num_digits,digit_ratio,has_https,has_ip_address,subdomain_depth,path_depth,hostname_has_hyphen,tld_in_path,shannon_entropy,suspicious_keyword_count,Label
41,11,23,0,3,3,0,3,0,0,0,0,0,8,0.1951219512195122,0,0,1,1,0,0,4.338663284842051,0,0
92,39,45,0,6,3,0,5,0,0,0,0,0,11,0.11956521739130435,1,0,5,2,0,0,4.5775530595678955,0,0
45,14,23,0,2,0,0,5,0,0,0,0,0,0,0.0,1,0,1,3,0,0,3.9409542087336558,0,0
127,51,68,0,9,6,3,6,0,0,0,0,0,18,0.14173228346456693,1,0,3,4,1,0,4.603793940080908,0,0
141,13,104,15,2,1,2,14,0,1,0,0,0,27,0.19148936170212766,1,0,0,12,0,0,4.656756553085269,0,0
1074,18,17,1030,11,0,4,5,0,1,10,9,58,255,0.23743016759776536,1,0,1,3,0,0,5.595656927413861,2,0
32,15,9,0,1,0,0,3,0,0,0,0,0,0,0.0,1,0,0,1,0,0,3.7373008763572906,0,1
138,15,10,104,3,0,0,3,0,1,9,8,0,11,0.07971014492753623,1,0,1,1,0,0,4.728461005726818,0,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,0.0,1,0,0,0,0,0,3.6835423624332306,0,0
27,18,1,0,2,0,0,3,0,0,0,0,0,1,0.037037037037037035,1,0,1,0,0,0,3.9302703722934544,0,1
50,14,28,0,2,0,0,5,0,0,0,0,0,2,0.04,1,0,1,3,0,0,4.646370130156181,0,1
42,34,0,0,2,1,0,2,0,0,0,0,0,0,0.0,1,0,1,0,1,0,3.994006566750176,0,1
32,10,14,0,2,0,0,6,0,0,0,0,0,2,0.0625,1,0,1,3,0,0,3.9056390622295662,0,0
34,11,16,0,2,0,0,3,0,0,0,0,0,0,0.0,0,0,0,1,0,0,3.8780682683455234,0,0
45,15,5,16,2,0,0,4,0,1,2,1,0,1,0.022222222222222223,1,0,1,1,0,0,4.4193050406298875,0,0
46,15,23,0,2,1,0,4,0,0,0,0,0,0,0.0,1,0,1,2,0,0,4.25693885808983,0,0
38,29,1,0,2,1,0,3,0,0,0,0,0,6,0.15789473684210525,1,0,1,0,1,0,4.418722908066561,0,1
50,9,33,0,6,1,0,4,0,0,0,0,0,4,0.08,1,0,0,2,0,0,4.2561746300696415,0,0
84,76,0,0,3,1,0,2,0,0,0,0,0,11,0.13095238095238096,1,0,2,0,1,0,4.800379632149101,0,1
44,17,19,0,2,0,0,4,0,0,0,0,0,11,0.25,1,0,1,2,0,0,4.362507470762515,0,0
30,4,18,0,1,1,0,3,0,0,0,0,0,1,0.03333333333333333,1,0,0,1,0,0,4.231401845392172,0,0
216,21,187,0,2,6,0,7,0,0,0,0,54,72,0.3333333333333333,1,0,1,5,1,0,3.96495448031151,0,0
21,12,1,0,1,0,0,3,0,0,0,0,0,0,0.0,1,0,0,0,0,0,3.558518613048906,0,1
47,30,9,0,2,2,0,5,0,0,0,0,0,8,0.1702127659574468,1,0,1,2,1,0,4.493433469104719,0,0
96,23,65,0,3,0,0,4,0,0,0,0,0,12,0.125,1,0,2,2,0,0,4.664360454419645,0,1
162,34,33,86,3,3,0,6,0,1,3,2,0,58,0.35802469135802467,1,0,2,4,0,0,4.996414402165098,0,0
61,21,32,0,3,0,0,5,1,0,0,0,0,3,0.04918032786885246,1,0,1,2,0,1,4.3460112637858614,0,0
30,16,6,0,2,0,0,4,0,0,0,0,0,0,0.0,1,0,1,1,0,0,4.056564762130954,0,0
175,15,108,43,2,1,2,7,0,1,3,2,0,19,0.10857142857142857,1,0,1,5,0,0,5.60289566689193,0,1
77,42,28,0,2,0,0,6,0,0,0,0,0,18,0.23376623376623376,0,0,1,4,0,0,4.671851476403023,0,0
24,15,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,3.772055208874201,0,1
36,13,16,0,3,0,0,3,0,0,0,0,0,0,0.0,0,0,1,1,0,0,4.078696876021637,0,1
35,26,1,0,2,1,0,3,0,0,0,0,0,6,0.17142857142857143,1,0,1,0,1,0,4.286146588249909,0,1
44,13,23,0,2,1,0,4,0,0,0,0,0,0,0.0,1,0,1,2,0,0,4.362507470762516,0,0
32,10,14,0,2,0,0,6,0,0,0,0,0,2,0.0625,1,0,1,3,0,0,3.9056390622295662,0,0
57,12,37,0,2,4,0,4,0,0,0,0,0,0,0.0,1,0,1,2,0,0,4.42009483849841,0,0
61,15,38,0,2,1,0,5,0,0,0,0,0,0,0.0,1,0,1,3,0,0,4.168442978769975,0,0
73,20,1,43,2,0,0,3,0,1,1,0,0,33,0.4520547945205479,1,0,1,0,0,0,4.661199082288261,0,1
46,37,1,0,2,3,0,3,0,0,0,0,0,4,0.08695652173913043,1,0,1,0,1,0,4.278252988336485,0,1
22,6,9,0,1,1,0,3,0,0,0,0,0,6,0.2727272727272727,0,0,0,1,0,0,3.936260027531526,0,0
331,73,12,238,7,6,1,12,0,1,10,9,0,29,0.08761329305135952,0,0,1,2,1,0,4.985413914467255,0,0
105,10,1,85,4,0,4,3,0,1,3,2,0,1,0.009523809523809525,1,0,1,0,0,0,4.376919710520152,0,0
111,11,77,14,1,3,0,8,0,1,1,0,0,6,0.05405405405405406,1,0,0,6,0,0,4.552424841189511,0,0
44,35,1,0,2,2,0,3,0,0,0,0,0,0,0.0,1,0,1,0,1,0,4.144106550888951,1,1
65,13,44,0,2,3,0,6,0,0,0,0,0,0,0.0,1,0,1,4,0,0,4.306628682679659,0,0
92,43,14,0,5,2,0,3,1,0,0,0,0,18,0.1956521739130435,1,0,1,1,1,0,4.798382685702856,0,1
188,12,168,0,3,20,0,3,0,0,0,0,0,16,0.0851063829787234,1,0,1,1,0,0,4.556703498634472,0,0
59,12,1,37,4,0,0,3,0,1,1,0,3,3,0.05084745762711865,1,0,1,0,0,0,4.5887668387239176,0,0
38,29,1,0,2,0,0,3,0,0,0,0,0,10,0.2631578947368421,1,0,1,0,0,0,4.273728829005325,0,1
111,10,2,90,2,2,1,3,0,1,1,0,0,12,0.10810810810810811,1,0,1,1,0,0,5.683980001789918,0,0
25,16,1,0,2,1,0,3,0,0,0,0,0,0,0.0,1,0,1,0,1,0,3.8634651896016456,0,1
27,8,11,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,1,0,0,4.078418520441603,0,0
25,11,6,0,1,0,0,3,0,0,0,0,0,2,0.08,1,0,0,1,0,0,3.8136606896881844,0,1
123,45,70,0,5,1,4,8,0,0,0,0,0,3,0.024390243902439025,1,0,3,6,0,0,4.830686868957949,0,0
366,15,13,329,5,2,4,4,0,1,5,4,9,36,0.09836065573770492,1,0,1,2,0,0,5.507033976670484,1,0
37,13,16,0,1,0,1,5,0,0,0,0,2,4,0.10810810810810811,1,0,0,2,0,0,4.172574231126241,0,0
172,22,43,99,3,1,1,6,0,1,2,1,0,22,0.12790697674418605,0,0,1,4,1,0,5.458825832245703,0,1
111,39,64,0,6,6,0,5,0,0,0,0,0,11,0.0990990990990991,1,0,5,2,0,0,4.549780305594825,0,0
54,21,25,0,2,3,1,5,0,0,0,0,0,1,0.018518518518518517,1,0,1,2,1,0,4.241024428795795,0,0
30,22,0,0,2,1,0,2,0,0,0,0,0,1,0.03333333333333333,1,0,1,0,1,0,3.9614063297218425,0,1
